Format Version,1.23,Take Name,Take 2023-08-18 03.00.49 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-18 03.00.50.093 AM,Capture Start Frame,177424,Total Frames in Take,359,Total Exported Frames,359,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ur5,ur5,ur5,ur5,ur5,ur5,ur5,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board
,ID,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
109,0.908000,0.000015,-0.000095,-0.000172,1.000000,-1.184507,-0.038893,0.351030,0.000055,0.000000,-0.000009,1.000000,-1.029619,-0.147367,0.885931
110,0.917000,-0.000058,-0.000092,-0.000087,1.000000,-1.184507,-0.038890,0.351027,0.000031,-0.000005,0.000055,1.000000,-1.029625,-0.147351,0.885927
111,0.925000,0.000005,-0.000078,-0.000004,1.000000,-1.184497,-0.038890,0.351032,0.000037,-0.000005,0.000024,1.000000,-1.029610,-0.147345,0.885928
112,0.933000,-0.000009,-0.000088,0.000048,1.000000,-1.184501,-0.038883,0.351034,0.000052,0.000015,-0.000023,1.000000,-1.029598,-0.147345,0.885915
113,0.942000,-0.000010,-0.000062,-0.000031,1.000000,-1.184501,-0.038877,0.351029,0.000077,0.000021,-0.000041,1.000000,-1.029590,-0.147342,0.885922
114,0.950000,-0.000057,-0.000058,-0.000172,1.000000,-1.184498,-0.038868,0.351028,0.000061,0.000034,-0.000008,1.000000,-1.029596,-0.147348,0.885912
115,0.958000,-0.000003,-0.000082,-0.000131,1.000000,-1.184492,-0.038889,0.351023,0.000002,-0.000002,0.000062,1.000000,-1.029623,-0.147345,0.885925
116,0.967000,-0.000043,-0.000053,-0.000095,1.000000,-1.184516,-0.038887,0.351034,0.000065,-0.000015,-0.000017,1.000000,-1.029632,-0.147364,0.885920
117,0.975000,0.000017,-0.000059,-0.000068,1.000000,-1.184522,-0.038897,0.351033,0.000024,-0.000023,-0.000006,1.000000,-1.029651,-0.147362,0.885909
118,0.983000,0.000003,-0.000059,-0.000167,1.000000,-1.184515,-0.038879,0.351032,0.000042,-0.000007,-0.000003,1.000000,-1.029613,-0.147369,0.885920
